Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
ARPTF,,,,,,"PO Box 66 Ben Gurion Airport Tel Aviv, 70151 Israel",www.nitsba.com/en,-2333001,office.nitsba@nitsba.co.il,,,Dec-31,,,
ARREF,"195,833,469",Unlimited,"165,960,567",0.01,,"9th Floor 1021 West Hastings Street Vancouver, BC V6E 0C3 Canada",www.amerigoresources.com,604-681-2802,kat@amerigoresources.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Aurora Davidson (President, CEO), Carmen Amezquita Hernandez (CFO), Kim Thomas (Corporate Secretary), Graham Farrell (IR), Jonathan Paterson (IR)","Klaus Zeitler, Robert Gayton, George Ireland, Michael Luzich, Margot Naudie, Alberto Salas",804 as of 12/31/2023
ARRJF,,,,,,,,,,,,Dec-31,,,
ARRKF,"17,837,609",Unlimited,"89,188,046",,,"777 Dunsmuir Street Suite 1610 Vancouver, BC V7Y 1K4 Canada",www.arrasminerals.com,(604) 687-5800,info@arrasminerals.com,Audited,10/31/2023,Oct-31,"Timothy Thomas Barry (CEO), Darren Ervin Charles Klinck (President), Christopher Matthew Herbert Richards (CFO), David Xuan (Controller)","Timothy Thomas Barry, Gordon Wesley Carson, Brian Douglas Edgar, Darren Ervin Charles Klinck, Vera Kobalia, Daniel James Kunz, Christian John Eicke Milau",30 as of 06/10/2024
ARRNF,"75,668,749",Unlimited,"446,423,299",,,"Suite 706, Level 7, 89 York Street Sydney, NSW 2000 Australia",www.americanree.com,+61 2 8054 9799,info@americanree.com,Audited,03/31/2024 Quarterly Report,Jun-30,"Donald Swartz II (CEO), Jose Rico (CFO), Wayne John Kernaghan (Corporate Secretary), David Batista (Advisor)","Richard Hudson, Paul Zink, John G. Mansanti, Geoffrey Guild Hill, Christopher Gibbs, Sten Leonard Gustafson, Melissa Sanderson, Kenneth H. Traub",8 as of 05/28/2024
ARRPY,,,,,,1 rue de France Tremblay-en-France 93290 France,www.parisaeroport.fr,+33 170363950,,,,Dec-31,,,
ARRRF,"49,240,715",,"125,103,443",,,"45 Ord Street Suite 2 West Perth, WA 6005 Australia",ardearesources.com.au,+61 (08) 6244 5136,ardea@ardearesources.com.au,Audited,,Jun-30,,,
ARRT,"1,105,292","500,000,000","4,400,048",0.001,03/31/2024,"999 N Northlake Way Ste 203 Seattle, WA 98103-3442",ambjoy@yandex.com,(206) 517-7141,,Audited,03/31/2024,Jun-30,"Amber Joy Finney (President, CEO, Treasurer), William Drury (Secretary)",Amber Joy Finney,
ARRXF,,,,,,,archerx.com.au,,,,,,,,
ARSC,"22,430","3,000,000,000","224,300,300",,12/31/2010,"2525 Robin Hood Street Suite 1100 Houston, TX 77005",www.americansecurityresourcescorp.com,713-800-6684,info@americansecurityresourcescorp.com,,06/30/2017 Quarterly Report,Dec-31,"Frank R. Neukomm (CEO, Secretary), Robert A. Farr (President, COO), John D Thomas (Counsel), Randy Moseley (Accountant)",,
ARSEF,"2,353,409",,"56,033,552",,,"111 Lynedock Crescent Toronto, ON M3A 2A7 Canada",,416-383-1328,,,,,,,
ARSLF,"7,341,743",,"56,474,949",,,"595 Howe Street Box 4 Suite 303 Vancouver, BC V6C 2T5 Canada",www.altimaresources.com,(604) 336-8610,info@altimaresources.com,Audited,,Nov-30,"Richard Switzer (President, CEO), Richard Barnett (CFO, Secretary)",Jim O'Byrne,
ARSMF,"18,388,319",Unlimited,"153,235,989",,,"409 Granville Street Suite 1001 Vancouver, BC V6C 1T2 Canada",www.aresmining.com,+1 604-345-1576,jwalker@aresmining.com,Audited,03/31/2024 Interim Financial Report,Sep-30,"Paul Sarjeant (VP Expl.), James Walker (President), Viktoriya Griffin (CFO), Tom Klaimanee (Corporate Secretary), Dace Bratuskina (Office Manager)","Bob Li, Michael Li, Paul Sarjeant, James Walker",8 as of 02/21/2024
ARSRF,"37,621,917",,"338,631,120",,,"Level 6, 120 Edward Street Brisbane, QL 4000 Australia",www.aerisresources.com.au,+61 7 3034 6200,info@aerisresources.com.au,Audited,,Jun-30,,,
ARSSF,,,,,,,,,,,,,,,
ARSUF,,,,,,,,,,Audited,,,,,
ARSWF,,,,,,"1-5-5, Joetsu-shi Niigata-ken 943-8610 Japan",www.arisawa.co.jp,+81-(0)25-524-5121,ir@arisawa.co.jp,,,Mar-31,"Sanji Arisawa (CEO, President)",,
ARTD,"5,608","60,000,000","56,077,158",0.01,,"1601 Cloverfield Boulevard Suite 400 South Santa Monica, CA 90404-4082",www.artistdirect.com,(310) 956-3300,,,03/31/2009,Dec-31,"Dimitri Villard (CEO), Rene Rousselet (Chief Accounting Officer)",,
ARTGF,,,,,,,www.airthings.com,+47 480 30 383,info@airthings.com,,,Dec-31,,,
ARTH,"4,311,032","350,000,000","4,444,363",0.001,05/15/2024,"235 Walnut Street Suite 6 Framingham, MA 01702",www.archtherapeutics.com,(617) 431-2313,investors@archtherapeutics.com,Audited,03/31/2024,Sep-30,"Terrence W. Norchi (President, CEO), Michael S. Abrams (CFO, Treasurer), James Craig Maver (Controller)","Laurence Hicks, Punit Dhillon, Guy Fish, Terrence W. Norchi",8 as of 03/31/2022
ARTM,"1,508,548","150,000,000","65,305,087",0.001,,"10265 E. Cochise Scottsdale, AZ 85258",www.americannortel.com,+1 214-534-2615,bwilliams@americannortel.com,Unaudited,03/31/2024 Quarterly Report,Jun-30,"William P. Williams (President, CEO)",,4 as of 07/01/2023
ARTNB,"30,410,094","881,452","881,452",1,05/22/2024,"664 Churchmans Road Newark, DE 19702",www.artesianwater.com,(302) 453 - 6900,ntaylor@artesianwater.com,Audited,03/31/2024,Dec-31,"Dian A. Taylor (President, CEO), David B. Spacht (CFO), Joseph A. DiNunzio (EVP, Secretary), John M. Thaeder (SVP, Ops.), Nicholle A. Taylor (Senior VP), Jennifer L. Finch (Senior VP), Pierre Anderson (Senior VP), Daniel W. Konstanski (VP, Eng.), Raymond T. Kelly (VP, Tech.), Courtney Emerson (General Counsel)","Dian A. Taylor, Kenneth R. Biederman, Michael Houghton, John R. Eisenbrey, Jr., Nicholle A. Taylor",252 as of 12/31/2022
ARTR,"247,725","2,500,000,000","2,477,250,000",1.00E-05,,"1040 South Service Road Stoney Creek, ON L8E6G3 Canada",www.airtrona.com,289-656-1264,info@airtrona.com,Unaudited,04/30/2014 Quarterly Report,Jan-31,"James Cairns (President), Kenneth Dehon (Vice President, Secretary)",,
ARTTF,"11,398,354",Unlimited,"1,561,418,371",1,,"Level 8 99 St Georges Terrace Perth, WA 6000 Australia",www.artemisresources.com.au,+61 (8) 9486 4036,info@artemisresources.com.au,Audited,12/31/2022 Quarterly Report,Jun-30,"Guy Robertson (CFO), Cheryl Kannemeyer (Controller)","Simon Dominy, Vivienne Powe, Dan Smith",5 as of 04/20/2023
ARTZF,"49,834,881",,"5,631,060",,,Niebuhrstrasse 78 Berlin 10629 Germany,www.artnet.com,+49 (0)30 209 178-0,,,,,,,
ARUXF,"5,094,799",,"166,496,700",,,"103-113 Stanley Street West Melbourne, VA 3003 Australia",www.acrux.com.au,+61 3 8379 0100,,Audited,,Dec-31,,,
ARVLF,"638,238",,"12,764,758",,06/10/2024,"60A, rue des Bruyeres Howald 1274 Luxembourg",arrival.com,352 26845062,,Audited,12/31/2021,Dec-31,,,
ARVY,"4,619,064","19,000,000,000","1,490,020,782",1.00E-05,,"No. 70, Kuangquan Street, Batong Town Santai County Mianyang City 621101 China",www.sctpsl.com,8.61E+12,john@jaz-intl.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Jun Tang (President, Treasurer), Zonghan Wu (Secretary)","Jun Tang, Zonghan Wu",28 as of 12/31/2022
ARWD,"7,675",,"767,539,744",1.00E-05,02/04/2019,"14090 SOUTHWEST FREEWAY STE. 300 SUGARLAND, TX 77478",www.arrowrd.com,(347) 284-0169,,Audited,09/30/2013,Dec-31,Peter A. Frugone (CEO),"Peter A. Frugone, John E. McConnaughy Jr., Rudolph Karundeng",
ARWJF,616,Unlimited,"61,569,160",,,"Suite 1100-888 Dunsmuir Street Vancouver, BC V6C 3K4 Canada",www.arowayenergy.com,604-304-4090,jpottinger@arowayenergy.com,Audited,12/31/2014 Interim Financial Report,Jun-30,"Cristopher Cooper (CEO, COO), Judy-Ann Pottinger (Director, Comm.)","Desmond Balakrishnan, Cristopher Cooper, Brad Nichol, Mike Veldhuis",3 as of 10/31/2011
ARWYF,"5,203,736",Unlimited,"32,523,353",,,"PO Box 64039, RPO Royal Bank Plaza Toronto, ON M5J 2T6 Canada",www.arway.ai,+1 866 274 8493,investor.relations@arway.ai,Audited,02/29/2024 Interim Financial Report,Aug-31,"Evan Gappelberg (CEO), Anum Waqas (CFO), Belinda Tyldesley (Company Secretary)","Evan Gappelberg, Nidhi Kumra, Anthony Pizzonia, Belinda Tyldesley",10 as of 01/08/2024
ARXRF,"6,800,722",Unlimited,"277,128,030",,,"789 West Pender Street Suite 1240 Vancouver, BC V6C 1H2 Canada",www.imaginelithium.com,+1 604-683-3995,info@imaginelithium.com,Audited,01/31/2024 Annual Report,Jan-31,"Michael Bruno John Franz England (CEO), Jean Claude St-Amour (President), Arvin Joseph Cabrera Ramos (CFO), John Parker Masters (Administrator)","Michael Bruno John Franz England, Jonathan Gagne, Gerhard Jacob",0 as of 02/22/2022
ARYC,"112,650","2,480,000,000","1,126,502,244",0.001,,"927 Thompson Place Sunnyvale, CA 94085",www.arrayit.com,408-744-1331,arrayit@arrayit.com,Audited,09/30/2015,Dec-31,"Rene A. Schena (CEO), Mark Schena (President, Secretary, Treasurer, CTO), Todd Martinsky (EVP), Philip Ruben (Securities Counsel)",,7 as of 04/15/2015
ARYMF,"82,435,395",,"1,223,077,083",,12/31/2009,"Level 2, 22 Mount Street Perth, WA 6850 Australia",www.argosyminerals.com.au,+61 8 6188 8181,admin@argosyminerals.com.au,Audited,12/31/2008,Dec-31,"Peter Hugh Lloyd (President, CEO), Cecil R. Bond (CFO , Secretary)",,
ARYX,"40,154",,"33,461,975",0.001,,"6300 Dumbarton Circle Fremont, CA 94555",www.aryx.com,510-585-2200,,,09/30/2010,Dec-31,"John Varian (CFO), David Nagler (Corporate Secretary)",,
ARZGF,"39,565,312,972",,"1,573,173,478",,,P.za Duca degli Abruzzi 2 Trieste 34132 Italy,www.generali.com/generalicom/home.do,+39 040 671621,Generali_ir@generali.com,Audited,,Dec-31,"Giovanni Perissinotto (CEO, Managing Director), Raffaele Agrusti (CFO), Paola Buratti (IR)",,"81,997 as of 12/31/2011"
ARZGY,"39,769,825,524",,"1,573,173,478",,,P.za Duca degli Abruzzi 2 Trieste 34132 Italy,www.generali.com/generalicom/home.do,+39 040 671621,Generali_ir@generali.com,Audited,,Dec-31,"Giovanni Perissinotto (CEO, Managing Director), Raffaele Agrusti (CFO), Paola Buratti (IR)",,"81,997 as of 12/31/2011"
ARZTF,"1,843,446,000",,"991,100,000",,,Ifangstrasse 9 Schlieren 8952 Switzerland,www.aryzta.com,41-44-583-4200,info@ARYZTA.com,Audited,,Jul-31,"Owen Killian (CEO), Hugo Kane (COO), Patrick McEniff (CFO)",Denis Lucey,"9,350 as of 07/31/2010"
ARZTY,"1,962,378,000",,"991,100,000",,,Ifangstrasse 9 Schlieren 8952 Switzerland,www.aryzta.com,41-44-583-4200,info@ARYZTA.com,Audited,,Jul-31,"Owen Killian (CEO), Hugo Kane (COO), Patrick McEniff (CFO)",Denis Lucey,"9,350 as of 07/31/2010"
ASAAF,,,,,,Fabriksgasse 13 Leoben 8700 Austria,ats.net,+43 3842 200-0,,,,Mar-31,,,
ASAGF,"311,719,225",,"311,968,800",,,"Level 1 299 Coronation Drive Milton, QL 4064 Australia",www.aaco.com.au,61-7-3368-4400,info@aaco.com.au,Audited,,Mar-31,David Farley (CEO),,
ASALF,"6,037,200",,"23,220,000",,,"200-551 Howe Street Vancouver, BC V6C 2C2 Canada",mdake@shaw.ca,+1 (604) 683-8610,,Audited,,Sep-30,,,
ASAPF,"15,390,157",Unlimited,"76,950,784",,,"20 Holly Street, Suite 300 Toronto, BC M4S 3B1 Canada",aurora-spine.com,+1 760-424-2004,customerservice@auroraspine.us,Audited,03/31/2024 Quarterly Report,Dec-31,"Trent Northcutt (CEO), David Meyer (COO), Chad Clouse (CFO), Laszlo Garamszegi (CTO)","David Rosenkrantz, Tracy Graf, Daryl Maclellan, Trent Northcutt, Mike Seid, Jim Snow",31 as of 06/01/2023
ASAPQ,"81,571","249,000,000","13,595,118",0.0001,12/31/2023,"214 Jefferson Street Suite 200 Lafayette, LA 70501",investors.waitrapp.com,(337) 534-6881,annette.finch@asap.com,Audited,04/02/2024 8K Report,Dec-31,"Carl Grimstad (CEO), David Cronin (Officer), Armen Yeghyazarians (CFO, Chief Accounting Officer), Timothy Newton (CTO), Annette Finch (Finance Manager), Thomas C. Pritchard (General Counsel)","Jonathan Green, Carl Grimstad, Buford Ortale, J. Daniel Schmidt",140 as of 11/17/2023
ASASF,"129,164,910",,"1,230,142,000",,,33 Lockhart Rd. Wanchai Hong Kong China,,852-2866-3336,,,,Mar-31,,,
ASAV,"12,958,779","100,000,000","11,367,350",,07/31/2023,"401 Ryland St Suite 200-A Reno, NV 89502",,(755) 885-7800,,Audited,,Mar-31,,,
ASAZF,"32,518,744,943",,"1,110,776,000",,,Klarabergsviadukten 90 Box 70340 Stockholm 107 23 Sweden,www.assaabloy.com,46-8-506-485-00,info@assaabloy.com,Audited,,Dec-31,"Johan Molin (President, CEO), Carolina Dybeck Happe (EVP, CFO), Ulf Sodergren (CTO)",Gustaf Douglas,"42,571 as of 06/30/2013"
ASAZY,"33,678,728,320",,"1,110,776,000",,,Klarabergsviadukten 90 Box 70340 Stockholm 107 23 Sweden,www.assaabloy.com,46-8-506-485-00,info@assaabloy.com,Audited,,Dec-31,"Johan Molin (President, CEO), Carolina Dybeck Happe (EVP, CFO), Ulf Sodergren (CTO)",Gustaf Douglas,"42,571 as of 06/30/2013"
ASBFF,"26,401,800,000",,"790,000,000",,09/18/1999,Weston Centre 10 Grosvenor St. London W1K 4QY United Kingdom,www.abf.co.uk,011-44-20-7399-6500,,Audited,,Sep-30,"George A. Weston (CEO, Executive Director), John Bason (Principal Fin. Officer)",,
ASBFY,"25,441,950,000",,"790,000,000",,09/18/1999,Weston Centre 10 Grosvenor St. London W1K 4QY United Kingdom,www.abf.co.uk,011-44-20-7399-6500,,Audited,,Sep-30,"George A. Weston (CEO, Executive Director), John Bason (Principal Fin. Officer)",,
ASBRF,"18,618,215,000",,"483,590,000",,,"23-1, Azumabashi 1-chome, Sumida-ku, Tokyo 130-8602 Japan",www.asahigroup-holdings.com,-10656,,Audited,,Dec-31,Hitoshi Ogita (CEO),Hitoshi Ogita,280 as of 12/31/2012
ASCBQ,"4,197",,"41,973,590",1.00E-05,09/23/2008,"100 American Metro Boulevard Suite 108 Hamilton, NJ 08619",www.ascendiabrands.com,609-219-0930,,,08/25/2007,Feb-28,"Steven Scheyer (President, CEO), Andrew Sheldrick (Secretary, General Counsel)",,
ASCC,"209,545","250,000,000","26,193,087",0.001,,"4701 Pine Circle Drive Bellaire, TX 77401",aristocratgroupcorp.com,+1 832-302-0600,derek@famousb.com,Unaudited,01/31/2024 Quarterly Report,Jul-31,"Derek Sisson (President, Secretary, Treasurer, CEO), Gilbert Audet (Director, R&D), Mark Corwin (Advisory CFO)",,2 as of 09/21/2021
ASCCF,"11,829,811,080",,"199,963,000",,,"1-1,Minatojima-Nakamachi 7-chome Chuo-ku Kobe 650-8555 Japan",corp.asics.com/en,+81 (0)50-1745-2248,ahq-org-finance-ir-t@asics.com,Audited,,Dec-31,,,
ASCCY,"10,773,445,480",,"183,004,000",,,"1-1,Minatojima-Nakamachi 7-chome Chuo-ku Kobe 650-8555 Japan",corp.asics.com/en,+81 (0)50-1745-2248,ahq-org-finance-ir-t@asics.com,Audited,,Dec-31,,,
ASCHF,,,"299,611,523",,,"4-5/F., Building 1, No. 16, North Hongda Beijing Economic-technological Developme Beijing China",www.acotec.cn/syen.html,+86 10 6787 2107,ir@acotec.cn,,,Dec-31,,,
ASCJF,"198,344,193","71,863,838","71,863,838",1,,Oksenoyveien 10 P.O. Box 230 Lysaker 1366 Norway,www.amscasa.com,+47 24 13 00 00,ir@amscasa.com,Audited,03/31/2024 Quarterly Report,Dec-31,"Pal Lothe Magnussen (CEO), Morten Bakke (CFO), Leigh Jaros (Finance Manager)","Annette Beate Wacknitz Malm Justad, Peter Ditlef Knutsen, Frank Ove Reite",3 as of 01/31/2024
ASCK,"16,279","20,000,000,000","162,785,824",0.0001,07/25/2023,"49 John Day Dam Road Goldendale, WA 98620",www.auscretehomes.com,(541) 739-8298,info@auscretehomes.com,Audited,03/31/2023,Dec-31,"John Sprovieri (President, CEO), Michael Alan Young (CFO)","John Sprovieri, Mary E Sprovieri, Michael Alan Young",6 as of 10/17/2022
ASCLF,,,,,,,,,,,,,,,
ASCN,"8,417,695","5,000,000","110,396",0.1,,"106 New Jersey Ave. Absecon, NJ 08201-2409",www.fnbabsecon.com,+1 609-641-6300,Bancorp@fnbabsecon.com,,,,"Reporting Status (U.S. Reporting: Bank/Thrift), Audited Financials (Audited), Latest Report (12/31/2023 Annual Report), Fiscal Year End (12/31)","Christian Eric Gaupp, Sandra G. Solano, Steven L. Hoffman, John A. Montgomery",Nan
ASCOF,"1,129,863,792",,"234,411,575",,,,www.gruppoascopiave.it/en,,,,,Dec-31,,,
ASCS,,,,,,"101 North Third St. Moorhead, MN 56560",,218-236-4400,,,05/31/2013,,"Joseph J. Talley (COO), Thomas S. Astrup (CFO), Teresa Warne (Chief Accounting Officer)",,
ASCUF,"109,460,044",Unlimited,"109,460,044","176,712,000.00",,"950 W Elliot Road Suite 122 Tempe, AZ 85284",www.arizonasonoran.com,520-858-0600,info@arizonasonoran.com,Audited,03/31/2024 Quarterly Report,Dec-31,"George O'Neil Ogilvie (CEO), Nicholas J. Nikolakakis (CFO, VP, Fin.), Harold Bernie Loyer (SVP, Ops.), Rita Adiani (SVP, Corp. Dev.), Travis Snider (VP Environment, Community & First Nations Relation), Douglas Bowden (VP Expl.), Kevin Canario (Director, Fin.), Accounts Payable (Other), Alison Dwoskin (Investor Relations Officer)","David Laing, Isabella Bertani, Alan Ray Edwards, George O'Neil Ogilvie, Mark Palmer, Sarah Strunk",20 as of 12/31/2023
ASDRF,"5,692,561",Unlimited,"186,641,344",0.25,,"3205-200 Bay Street Toronto, ON M5J 2J2 Canada",www.ascendantresources.com,905 630 0148,info@ascendantresources.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Joao Barros (President), Jason Brooks (CFO), Clifford David Hale-Sanders (EVP), Sergio Gelcich (VP Expl.), Carl Calandra (General Counsel, Corporate Secretary), Yara Jabr (Assistant Corporate Secretary), Accounts Payable (Other)","Mark Peter Brennan, Robert Anderson Campbell, Christopher Jones, Kurt Henwig Menchen, Rui Botica Santos, Robert Sellars, Stephen Shefsky",20 as of 05/10/2022
ASDZF,"3,256,779",,"223,067,036",,,"14th floor - 1111 W. Georgia St. Vancouver, BC V6E 4M3 Canada",www.arcticstar.ca,604-689-1799,info@arcticstar.ca,Audited,06/30/2018 Interim Financial Report,Dec-31,"Patrick Power (CEO), Binny Jassal (CFO), Buddy James Doyle (VP Expl.)","Sean Charland, Buddy James Doyle, Scott Richard Eldridge, Bill Ferreira, Jared Michael Lazerson, Thomas Yingling",
ASEJF,"172,831,256",,"621,807,000",,,"22 Dai Kwai Street Tai Po Industrial Estate Tai Po, New Territor, HK 88 China",www.apstar.com,852-2600-2100,investors@apstar.com,Audited,12/31/2008,Dec-31,"Cheng Guangren (President), Brian Lo Kin Hang (Secretary)",Rui Xiaowu,103 as of 06/30/2013
ASEKF,"10,188,374,295",,"294,674,600",,,2-1 Asahi-machi Kariya Aichi 448-8650 Japan,www.aisin.com,+81 566-24-8265,,Audited,,Mar-31,Fumio Fujimori (President),,
ASEKY,"10,560,086,706",,"269,515,099",,,2-1 Asahi-machi Kariya Aichi 448-8650 Japan,www.aisin.com,+81 566-24-8265,,Audited,,Mar-31,Fumio Fujimori (President),,
ASFH,"112,541,536","600,000,000","81,551,838",0.0001,,"Suite 30.02, 30th Floor Menara KH (Promet) Kuala Lumpur 50250 Malaysia",www.asiafingroup.com,(60)3 2148 7170,admin@asiafingroup.com,Audited,03/31/2024,Dec-31,"Kai Cheong Wong (CEO, President, Company Secretary), Hui Yin Cham (Finance Manager)","Kok Wah Seah, Kai Cheong Wong",108 as of 02/29/2024
ASFJ,"1,510",,"15,100,000",0.01,01/10/2003,"13911 Ridgedale Drive Suite 477 Minnetonka, MN 55305",,(952) 348-0480,,,03/31/2002,Jun-30,,,
ASFT,"1,627,262","1,000,000,000","4,495,198",0.0001,03/31/2024,"1225 Franklin Avenue Suite 325 Garden City, NY 11530",www.appsofttechnologies.com,(516) 224-7717,info@appsofttechnologies.com,Audited,05/08/2024 8K Report,Dec-31,"Brian Kupchik (President, CEO)",Brian Kupchik,
ASFX,"41,705","5,000,000,000","417,046,682",0.001,02/27/2012,"1112 Weston Road Unit 278 Weston, FL 33326",accounting@americansci.com,(847) 386-1384,,Audited,09/30/2011,Dec-31,"Erika Stanczak (VP, Mkt. & Comm.)",Howard Taylor,6 as of 10/06/2010
ASFZ,,,,,,"300 St. Paul Place Baltimore, MD 21202",,+1 (410) 332-3000,,,09/30/2000,Dec-31,"David J Keller (EVP, Fin.), Michael E McGill (EVP, Human Resources / Investment Banking), Chester D Longnecker (EVP, Secretary, General Counsel), David A Brooks (SVP, Bus. Dev.), Sandra J Allen (SVP, Comm. Div.)",,
ASGLF,"8,106,753,600",,"221,496,000",,,"1-5-1, Marunouchi Chiyoda-Ku Tokyo 100-8405 Japan",www.agc.com/english/index.html,81-3-3218-5555,info-pr@agc.co.jp,Audited,,Dec-31,"Masahiro Kadomatsu (President, CEO), Takashi Matsuzawa (CFO)",,"50,597 as of 12/31/2011"
ASGLY,"7,497,639,600",,"221,496,000",,,"1-5-1, Marunouchi Chiyoda-Ku Tokyo 100-8405 Japan",www.agc.com/english/index.html,81-3-3218-5555,info-pr@agc.co.jp,Audited,,Dec-31,"Masahiro Kadomatsu (President, CEO), Takashi Matsuzawa (CFO)",,"50,597 as of 12/31/2011"
ASGOF,"387,262,245",,"445,384,986",,,,,,,,,,,,
ASGSY,,,"205,131,700",,,,,,,,,,,,
